date,data,cols
2016-01-12,117.481435364326,Afluente (m3/seg)_daily_avg
2016-01-13,106.054120372492,Afluente (m3/seg)_daily_avg
2016-01-14,111.320300361112,Afluente (m3/seg)_daily_avg
2016-01-15,83.1975579778343,Afluente (m3/seg)_daily_avg
2016-01-16,132.445669131155,Afluente (m3/seg)_daily_avg
2016-01-17,108.405630867573,Afluente (m3/seg)_daily_avg
2016-01-18,84.4651604807391,Afluente (m3/seg)_daily_avg
2016-01-19,92.5299753193051,Afluente (m3/seg)_daily_avg
2016-01-20,95.0680157276087,Afluente (m3/seg)_daily_avg
2016-01-21,229.652886584981,Afluente (m3/seg)_daily_avg
2016-01-22,331.629571863554,Afluente (m3/seg)_daily_avg
2016-01-23,357.418059184541,Afluente (m3/seg)_daily_avg
2016-01-24,366.179747502693,Afluente (m3/seg)_daily_avg
2016-01-25,218.15683248201,Afluente (m3/seg)_daily_avg
2016-01-26,229.924068949023,Afluente (m3/seg)_daily_avg
2016-01-27,325.523908026069,Afluente (m3/seg)_daily_avg
2016-01-28,324.36400081006,Afluente (m3/seg)_daily_avg
2016-01-29,323.190097546161,Afluente (m3/seg)_daily_avg
2016-01-30,230.803322518874,Afluente (m3/seg)_daily_avg
2016-01-31,59.95932313433639,Afluente (m3/seg)_daily_avg
2016-02-01,103.233849436958,Afluente (m3/seg)_daily_avg
2016-02-02,101.107375231918,Afluente (m3/seg)_daily_avg
2016-02-03,81.9233942687499,Afluente (m3/seg)_daily_avg
2016-02-04,81.1976739242234,Afluente (m3/seg)_daily_avg
2016-02-05,71.4647050959267,Afluente (m3/seg)_daily_avg
2016-02-06,79.5121918241334,Afluente (m3/seg)_daily_avg
2016-02-07,99.3205034606828,Afluente (m3/seg)_daily_avg
2016-02-08,63.65991429030581,Afluente (m3/seg)_daily_avg
2016-02-09,70.3404326232337,Afluente (m3/seg)_daily_avg
2016-02-10,72.6291451275512,Afluente (m3/seg)_daily_avg
2016-02-11,70.1605061631602,Afluente (m3/seg)_daily_avg
2016-02-12,77.3163157649145,Afluente (m3/seg)_daily_avg
2016-02-13,86.1625746714425,Afluente (m3/seg)_daily_avg
2016-02-14,79.7515662104422,Afluente (m3/seg)_daily_avg
2016-02-15,49.4536004701492,Afluente (m3/seg)_daily_avg
2016-02-16,181.334840387658,Afluente (m3/seg)_daily_avg
2016-02-17,305.113894125174,Afluente (m3/seg)_daily_avg
2016-02-18,289.627215284499,Afluente (m3/seg)_daily_avg
2016-02-19,290.77617807492,Afluente (m3/seg)_daily_avg
2016-02-20,325.085009234098,Afluente (m3/seg)_daily_avg
2016-02-21,291.96054421868,Afluente (m3/seg)_daily_avg
2016-02-22,259.777868023106,Afluente (m3/seg)_daily_avg
2016-02-23,301.195478809564,Afluente (m3/seg)_daily_avg
2016-02-24,294.527901552155,Afluente (m3/seg)_daily_avg
2016-02-25,292.973406477371,Afluente (m3/seg)_daily_avg
2016-02-26,297.939724361139,Afluente (m3/seg)_daily_avg
2016-02-27,307.635905858084,Afluente (m3/seg)_daily_avg
2016-02-28,282.704657686239,Afluente (m3/seg)_daily_avg
2016-02-29,301.428172459577,Afluente (m3/seg)_daily_avg
2016-03-01,191.852807601244,Afluente (m3/seg)_daily_avg
2016-03-02,54.9933154781684,Afluente (m3/seg)_daily_avg
2016-03-03,56.5543696489737,Afluente (m3/seg)_daily_avg
2016-03-04,52.2204861523808,Afluente (m3/seg)_daily_avg
2016-03-05,58.5201868326742,Afluente (m3/seg)_daily_avg
2016-03-06,58.026589965003,Afluente (m3/seg)_daily_avg
2016-03-07,67.2827349285747,Afluente (m3/seg)_daily_avg
2016-03-08,55.3935500661015,Afluente (m3/seg)_daily_avg
2016-03-09,40.3995306267473,Afluente (m3/seg)_daily_avg
2016-03-10,35.7785152988406,Afluente (m3/seg)_daily_avg
2016-03-11,64.0477258413081,Afluente (m3/seg)_daily_avg
2016-03-12,45.7523034746542,Afluente (m3/seg)_daily_avg
2016-03-13,62.9225780363891,Afluente (m3/seg)_daily_avg
2016-03-14,54.0300724824823,Afluente (m3/seg)_daily_avg
2016-03-15,182.688635231532,Afluente (m3/seg)_daily_avg
2016-03-16,277.911116810492,Afluente (m3/seg)_daily_avg
2016-03-17,293.779770516369,Afluente (m3/seg)_daily_avg
2016-03-18,170.310299628336,Afluente (m3/seg)_daily_avg
2016-03-19,199.450574559137,Afluente (m3/seg)_daily_avg
2016-03-20,186.599372940511,Afluente (m3/seg)_daily_avg
2016-03-21,53.0666533039862,Afluente (m3/seg)_daily_avg
2016-03-22,36.1532806636603,Afluente (m3/seg)_daily_avg
2016-03-23,61.1380913916922,Afluente (m3/seg)_daily_avg
2016-03-24,49.4127957031841,Afluente (m3/seg)_daily_avg
2016-03-25,61.1718390092217,Afluente (m3/seg)_daily_avg
2016-03-26,69.5384774255147,Afluente (m3/seg)_daily_avg
2016-03-27,51.0798354252086,Afluente (m3/seg)_daily_avg
2016-03-28,34.8544032702037,Afluente (m3/seg)_daily_avg
2016-03-29,61.0228841053818,Afluente (m3/seg)_daily_avg
2016-03-30,57.1496382265371,Afluente (m3/seg)_daily_avg
2016-03-31,53.6501466323795,Afluente (m3/seg)_daily_avg
2016-04-01,41.997469456691,Afluente (m3/seg)_daily_avg
2016-04-02,43.8932957144974,Afluente (m3/seg)_daily_avg
2016-04-03,60.2994780515077,Afluente (m3/seg)_daily_avg
2016-04-04,50.7607164510283,Afluente (m3/seg)_daily_avg
2016-04-05,49.2403967981717,Afluente (m3/seg)_daily_avg
2016-04-06,38.8468973788268,Afluente (m3/seg)_daily_avg
2016-04-07,61.90709763054381,Afluente (m3/seg)_daily_avg
2016-04-08,51.6600722517132,Afluente (m3/seg)_daily_avg
2016-04-09,35.2477410502467,Afluente (m3/seg)_daily_avg
2016-04-10,37.0318538911693,Afluente (m3/seg)_daily_avg
2016-04-11,33.7903665163527,Afluente (m3/seg)_daily_avg
2016-04-12,52.2955248142509,Afluente (m3/seg)_daily_avg
2016-04-13,45.5446574971565,Afluente (m3/seg)_daily_avg
2016-04-14,96.0178996050936,Afluente (m3/seg)_daily_avg
2016-04-15,236.580264236408,Afluente (m3/seg)_daily_avg
2016-04-16,336.192231222611,Afluente (m3/seg)_daily_avg
2016-04-17,336.136221628886,Afluente (m3/seg)_daily_avg
2016-04-18,164.487977421097,Afluente (m3/seg)_daily_avg
2016-04-19,121.795295322913,Afluente (m3/seg)_daily_avg
2016-04-20,89.1367739802435,Afluente (m3/seg)_daily_avg
2016-04-21,71.8019039578676,Afluente (m3/seg)_daily_avg
2016-04-22,40.7729733766754,Afluente (m3/seg)_daily_avg
2016-04-23,229.235176844474,Afluente (m3/seg)_daily_avg
2016-04-24,228.525862931045,Afluente (m3/seg)_daily_avg
2016-04-25,137.857105647021,Afluente (m3/seg)_daily_avg
2016-04-26,115.128714854542,Afluente (m3/seg)_daily_avg
