file_name,freq,if_univariate,size,length,trend,seasonal,stationary,transition,shifting,correlation
Sdwpfh1.csv,hourly,False,user,14641,,,,,,
Sdwpfm2.csv,other,False,user,29281,,,,,,
BE.csv,hourly,False,user,52416,,,,,,
FR.csv,hourly,False,user,52416,,,,,,
Colbun.csv,daily,False,user,2958,,,,,,
DE.csv,hourly,False,user,52416,,,,,,
NP.csv,hourly,False,user,52416,,,,,,
Sdwpfh2.csv,hourly,False,user,14641,,,,,,
Energy.csv,hourly,False,user,13064,,,,,,
Rapel.csv,daily,False,user,3366,,,,,,
Sdwpfm1.csv,other,False,user,29281,,,,,,
PJM.csv,hourly,False,user,52416,,,,,,
